Datum,Autobahn_KFZ_Total,Autobahn_KFZ_Total_Rolling_Average_7_Days
2018-08-21,54158375,54721396.571428575
2018-08-22,55475378,54940545.428571425
2018-08-23,58064376,55117261.28571428
2018-08-24,62049243,55245265.85714286
2018-08-25,50333208,55196277.571428575
2018-08-26,49998450,55085857.71428572
2018-08-27,55374311,55064763.0
2018-08-28,54596007,55127281.85714286
2018-08-29,55543503,55137014.0
2018-08-30,58174406,55152732.571428575
2018-08-31,62433238,55207589.0
2018-09-01,51328385,55349757.14285714
2018-09-02,49603520,55293338.571428575
2018-09-03,55147217,55260896.571428575
2018-09-04,53885061,55159332.85714286
2018-09-05,55444002,55145118.428571425
2018-09-06,57506709,55049733.14285714
2018-09-07,61830916,54963687.14285714
2018-09-08,49414373,54690256.85714286
2018-09-09,49411730,54662858.28571428
2018-09-10,55261599,54679198.571428575
2018-09-11,54025381,54699244.28571428
2018-09-12,55563346,54716293.428571425
2018-09-13,57737798,54749306.14285714
2018-09-14,62156947,54795882.0
2018-09-15,49460700,54802500.14285714
2018-09-16,49302296,54786866.71428572
2018-09-17,55309222,54793670.0
2018-09-18,54445525,54853690.571428575
2018-09-19,55750120,54880372.571428575
2018-09-20,57684266,54872725.14285714
2018-09-21,61155278,54729629.571428575
2018-09-22,47737106,54483401.85714286
2018-09-23,44374357,53779410.571428575
2018-09-24,55505332,53807426.28571428
2018-09-25,55292329,53928398.28571428
2018-09-26,56831453,54082874.428571425
2018-09-27,58877043,54253271.14285714
2018-09-28,63387027,54572092.428571425
2018-09-29,50890402,55022563.28571428
2018-09-30,48522994,55615225.71428572
2018-10-01,53628852,55347157.14285714
2018-10-02,56080564,55459762.14285714
2018-10-03,38862579,52892780.14285714
2018-10-04,55942573,52473570.14285714
2018-10-05,59035445,51851915.571428575
2018-10-06,48865541,51562649.71428572
2018-10-07,48153095,51509807.0
2018-10-08,55395646,51762206.14285714
2018-10-09,54160759,51487948.28571428
2018-10-10,55600845,53879129.14285714
2018-10-11,57655708,54123862.71428572
2018-10-12,61632992,54494940.85714286
2018-10-13,49527350,54589485.0
2018-10-14,48376258,54621365.428571425
2018-10-15,55435550,54627066.0
2018-10-16,54577686,54686627.0
2018-10-17,55568799,54682049.0
2018-10-18,57709021,54689665.14285714
2018-10-19,61163472,54622590.85714286
2018-10-20,46490082,54188695.428571425
2018-10-21,45212579,53736741.28571428
2018-10-22,54814820,53648065.571428575
2018-10-23,54073853,53576089.428571425
2018-10-24,54659974,53446257.28571428
2018-10-25,57722413,53448170.428571425
2018-10-26,61693717,53523919.71428572
2018-10-27,46604455,53540258.71428572
2018-10-28,41769922,53048450.571428575
2018-10-29,54115191,52948503.571428575
2018-10-30,54346289,52987423.0
2018-10-31,56267971,53217136.85714286
2018-11-01,45289184,51440961.28571428
2018-11-02,53162644,50222236.571428575
2018-11-03,43898532,49835676.14285714
2018-11-04,46459161,50505567.428571425
2018-11-05,53991977,50487965.428571425
2018-11-06,53232284,50328821.85714286
2018-11-07,54035980,50009966.0
2018-11-08,55696278,51496693.71428572
2018-11-09,58505189,52259914.428571425
2018-11-10,41174887,51870822.28571428
2018-11-11,38080709,50673900.571428575
2018-11-12,53537476,50608971.85714286
2018-11-13,52779841,50544337.14285714
2018-11-14,54203804,50568312.0
2018-11-15,56313942,50656549.71428572
2018-11-16,58836403,50703866.0
2018-11-17,41483988,50748023.28571428
2018-11-18,38403137,50794084.428571425
2018-11-19,52667051,50669738.0
2018-11-20,52400021,50615478.0
2018-11-21,52961995,50438076.71428572
2018-11-22,55225121,50282530.85714286
2018-11-23,58169586,50187271.28571428
2018-11-24,40542823,50052819.14285714
2018-11-25,37497131,49923389.71428572
2018-11-26,52847191,49949124.0
2018-11-27,52804325,50006881.71428572
2018-11-28,54082791,50166995.428571425
2018-11-29,56158986,50300404.71428572
2018-11-30,58966069,50414188.0
2018-12-01,42286143,50663233.71428572
2018-12-02,38739078,50840654.71428572
2018-12-03,52964688,50857440.0
2018-12-04,53155161,50907559.428571425
2018-12-05,54153341,50917638.0
2018-12-06,55295699,50794311.28571428
2018-12-07,58176621,50681533.0
2018-12-08,42137157,50660249.28571428
2018-12-09,38294369,50596719.428571425
2018-12-10,54243580,50779418.28571428
2018-12-11,53357228,50808285.0
2018-12-12,54227827,50818925.85714286
2018-12-13,55722298,50879868.571428575
2018-12-14,58830821,50973325.71428572
2018-12-15,43953641,51232823.428571425
2018-12-16,34981992,50759626.71428572
2018-12-17,52197970,50467396.71428572
2018-12-18,52943170,50408245.571428575
2018-12-19,54732966,50480408.28571428
2018-12-20,56238768,50554189.71428572
2018-12-21,56738462,50255281.28571428
2018-12-22,47592268,50775085.14285714
2018-12-23,34147648,50655893.14285714
2018-12-24,25555899,46849883.0
2018-12-25,32662404,43952630.71428572
2018-12-26,40841278,41968103.85714286
2018-12-27,46557405,40585052.0
2018-12-28,46750780,39158240.28571428
2018-12-29,43092672,38515440.85714286
2018-12-30,32815192,38325090.0
2018-12-31,22711603,37918762.0
2019-01-01,29388763,37451099.0
2019-01-02,46646460,38280410.71428572
2019-01-03,44790560,38028004.28571428
2019-01-04,46562284,38001076.28571428
2019-01-05,40630427,37649327.0
2019-01-06,35965202,38099328.428571425
2019-01-07,46323998,41472527.71428572
2019-01-08,46214210,43876163.0
2019-01-09,46061522,43792600.428571425
2019-01-10,47918212,44239407.85714286
2019-01-11,49650315,44680555.14285714
2019-01-12,37480863,44230617.428571425
